run_id,seed,representation,ansatz,depth,K,init_state,test_accuracy,runtime_sec
275,42,flatten,random_indep,9,2,zero,0.45829999446868896,470.84
276,42,flatten,random_indep,15,2,zero,0.4749000072479248,520.54
277,42,flatten,random_indep,21,2,zero,0.4878999888896942,472.66
278,42,flatten,random_indep,1,2,random_fixed,0.36329999566078186,390.26
279,42,flatten,random_indep,3,2,random_fixed,0.3903000056743622,372.96
280,42,flatten,random_indep,5,2,random_fixed,0.4438000023365021,429.28
281,42,flatten,random_indep,7,2,random_fixed,0.45649999380111694,448.81
282,42,flatten,random_indep,9,2,random_fixed,0.5009999871253967,464.61
283,42,flatten,random_indep,15,2,random_fixed,0.45179998874664307,518.55
284,42,flatten,random_indep,21,2,random_fixed,0.49320000410079956,563.11
285,42,flatten,random_indep,1,2,random_indep,0.335099995136261,383.99
286,42,flatten,random_indep,3,2,random_indep,0.35339999198913574,406.25
287,42,flatten,random_indep,5,2,random_indep,0.43149998784065247,422.14
288,42,flatten,random_indep,7,2,random_indep,0.44130000472068787,447.83
289,42,flatten,random_indep,9,2,random_indep,0.4675000011920929,469.2
290,42,flatten,random_indep,15,2,random_indep,0.4959000051021576,474.6
291,42,flatten,random_indep,21,2,random_indep,0.5228999853134155,559.09
292,42,flatten,random_indep,1,4,zero,0.4634999930858612,649.45
293,42,flatten,random_indep,3,4,zero,0.5281999707221985,779.54
294,42,flatten,random_indep,5,4,zero,0.6653000116348267,805.27
295,42,flatten,random_indep,7,4,zero,0.6383000016212463,844.86
296,42,flatten,random_indep,9,4,zero,0.73580002784729,849.52
297,42,flatten,random_indep,15,4,zero,0.7480000257492065,823.96
298,42,flatten,random_indep,21,4,zero,0.7531999945640564,1102.43
299,42,flatten,random_indep,1,4,random_fixed,0.4478999972343445,738.02
300,42,flatten,random_indep,3,4,random_fixed,0.5414999723434448,779.27
301,42,flatten,random_indep,5,4,random_fixed,0.64410001039505,755.03
302,42,flatten,random_indep,7,4,random_fixed,0.675000011920929,862.88
303,42,flatten,random_indep,9,4,random_fixed,0.713699996471405,877.91
304,42,flatten,random_indep,15,4,random_fixed,0.6949999928474426,1000.71
305,42,flatten,random_indep,21,4,random_fixed,0.738099992275238,1099.95
306,42,flatten,random_indep,1,4,random_indep,0.42500001192092896,745.7
307,42,flatten,random_indep,3,4,random_indep,0.5746999979019165,776.11
308,42,flatten,random_indep,5,4,random_indep,0.6448000073432922,804.73
309,42,flatten,random_indep,7,4,random_indep,0.684499979019165,864.89
310,42,flatten,random_indep,9,4,random_indep,0.7343999743461609,859.55
311,42,flatten,random_indep,15,4,random_indep,0.7480000257492065,1015.0
312,42,flatten,random_indep,21,4,random_indep,0.7527999877929688,1113.81
313,42,flatten,random_indep,1,8,zero,0.501800000667572,1427.81
